2017-07-04 11:42:07.271 17599 LOG Starting pgqd 3.2.6
2017-07-04 11:42:07.272 17601 LOG auto-detecting dbs ...
2017-07-04 11:42:07.293 17601 LOG postgres: pgq version ok: 3.2.6
2017-07-04 11:42:07.294 17601 LOG londiste: pgq version ok: 3.2.6
2017-07-04 12:52:07.388 17601 LOG {ticks: 118, maint: 0, retry: 0}
2017-07-04 12:52:37.389 17601 LOG {ticks: 120, maint: 4, retry: 0}
2017-07-04 12:53:07.390 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:53:37.391 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:54:07.392 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:54:37.394 17601 LOG {ticks: 120, maint: 4, retry: 0}
2017-07-04 12:55:07.395 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:55:37.396 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:56:07.396 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:56:37.397 17601 LOG {ticks: 120, maint: 4, retry: 0}
2017-07-04 12:56:47.887 17601 LOG Got SIGTERM, fast exit
2017-07-04 13:00:14.347 19123 LOG Starting pgqd 3.2.6
2017-07-04 13:00:14.347 19123 FATAL @../../lib/usual/daemon.c:137 in function write_pidfile(): Cannot write pidfile: 'st3simple/ppid/pgqd.pid': No such file or directory [2]
2017-07-04 13:01:02.763 19143 LOG Starting pgqd 3.2.6
2017-07-04 13:01:02.764 19145 LOG auto-detecting dbs ...
2017-07-04 13:01:02.768 19145 LOG postgres: pgq version ok: 3.2.6
2017-07-04 13:01:02.768 19145 LOG londiste: pgq version ok: 3.2.6
2017-07-04 13:01:02.769 19145 LOG l3simple_db1: pgq version ok: 3.2.6
2017-07-04 13:01:02.773 19145 LOG l3simple_db2: pgq version ok: 3.2.6
2017-07-04 13:01:32.765 19145 LOG {ticks: 120, maint: 4, retry: 0}
2017-07-04 13:01:48.206 19145 LOG Got SIGTERM, fast exit
2017-07-04 13:18:25.736 19335 LOG Starting pgqd 3.2.6
2017-07-04 13:18:25.738 19337 LOG auto-detecting dbs ...
2017-07-04 13:18:25.748 19337 LOG londiste: pgq version ok: 3.2.6
2017-07-04 13:18:25.749 19337 LOG l3simple_db1: pgq version ok: 3.2.6
2017-07-04 13:18:25.752 19337 LOG postgres: pgq version ok: 3.2.6
2017-07-04 13:18:25.752 19337 LOG l3simple_db2: pgq version ok: 3.2.6
2017-07-04 13:18:55.739 19337 LOG {ticks: 120, maint: 4, retry: 0}
2017-07-04 13:19:25.740 19337 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 13:19:55.741 19337 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 13:20:25.743 19337 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 13:20:55.744 19337 LOG {ticks: 120, maint: 4, retry: 0}
2017-07-04 13:21:25.745 19337 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 13:21:55.746 19337 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 13:22:25.747 19337 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 13:22:55.748 19337 LOG {ticks: 120, maint: 4, retry: 0}
2017-07-04 13:23:25.748 19337 LOG {ticks: 120, maint: 0, retry: 0}
